path,label,start_frame,end_frame,scenario,cam,dataset,source_row
dataset/dataset/chute01/cam8.avi,0,1049,1079,1,8,mcfd,23
dataset/dataset/chute01/cam8.avi,1,1080,1110,1,8,mcfd,24
dataset/dataset/chute01/cam8.avi,0,1111,1141,1,8,mcfd,25
dataset/dataset/chute02/cam8.avi,0,350,380,2,8,mcfd,47
dataset/dataset/chute02/cam8.avi,1,381,411,2,8,mcfd,48
dataset/dataset/chute02/cam8.avi,0,411,441,2,8,mcfd,49
dataset/dataset/chute03/cam8.avi,0,560,590,3,8,mcfd,64
dataset/dataset/chute03/cam8.avi,1,591,621,3,8,mcfd,65
dataset/dataset/chute04/cam8.avi,0,313,343,4,8,mcfd,101
dataset/dataset/chute04/cam8.avi,1,344,374,4,8,mcfd,102
dataset/dataset/chute04/cam8.avi,0,375,405,4,8,mcfd,103
dataset/dataset/chute04/cam8.avi,1,660,690,4,8,mcfd,104
dataset/dataset/chute04/cam8.avi,0,691,721,4,8,mcfd,105
dataset/dataset/chute05/cam8.avi,1,309,339,5,8,mcfd,120
dataset/dataset/chute05/cam8.avi,0,340,370,5,8,mcfd,121
dataset/dataset/chute06/cam8.avi,0,621,651,6,8,mcfd,150
dataset/dataset/chute06/cam8.avi,1,672,702,6,8,mcfd,151
dataset/dataset/chute06/cam8.avi,1,692,722,6,8,mcfd,152
dataset/dataset/chute06/cam8.avi,0,729,759,6,8,mcfd,153
dataset/dataset/chute07/cam8.avi,0,463,493,7,8,mcfd,168
dataset/dataset/chute07/cam8.avi,1,494,524,7,8,mcfd,169
dataset/dataset/chute08/cam8.avi,0,296,326,8,8,mcfd,184
dataset/dataset/chute08/cam8.avi,1,327,357,8,8,mcfd,185
dataset/dataset/chute09/cam8.avi,0,594,624,9,8,mcfd,207
dataset/dataset/chute09/cam8.avi,1,625,655,9,8,mcfd,208
dataset/dataset/chute09/cam8.avi,0,656,686,9,8,mcfd,209
dataset/dataset/chute10/cam8.avi,0,485,515,10,8,mcfd,231
dataset/dataset/chute10/cam8.avi,1,506,536,10,8,mcfd,232
dataset/dataset/chute10/cam8.avi,0,537,567,10,8,mcfd,233
dataset/dataset/chute11/cam8.avi,0,443,473,11,8,mcfd,255
dataset/dataset/chute11/cam8.avi,1,474,504,11,8,mcfd,256
dataset/dataset/chute11/cam8.avi,0,505,535,11,8,mcfd,257
dataset/dataset/chute12/cam8.avi,0,569,599,12,8,mcfd,279
dataset/dataset/chute12/cam8.avi,1,600,630,12,8,mcfd,280
dataset/dataset/chute12/cam8.avi,1,628,658,12,8,mcfd,281
dataset/dataset/chute13/cam8.avi,0,700,730,13,8,mcfd,296
dataset/dataset/chute13/cam8.avi,1,841,871,13,8,mcfd,297
dataset/dataset/chute14/cam8.avi,1,1005,1035,14,8,mcfd,312
dataset/dataset/chute14/cam8.avi,0,1036,1066,14,8,mcfd,313
dataset/dataset/chute15/cam8.avi,0,724,754,15,8,mcfd,328
dataset/dataset/chute15/cam8.avi,1,755,785,15,8,mcfd,329
dataset/dataset/chute16/cam8.avi,0,383,413,16,8,mcfd,351
dataset/dataset/chute16/cam8.avi,0,821,851,16,8,mcfd,352
dataset/dataset/chute16/cam8.avi,1,899,929,16,8,mcfd,353
dataset/dataset/chute17/cam8.avi,0,359,389,17,8,mcfd,368
dataset/dataset/chute17/cam8.avi,1,753,783,17,8,mcfd,369
dataset/dataset/chute18/cam8.avi,0,607,637,18,8,mcfd,384
dataset/dataset/chute18/cam8.avi,1,648,678,18,8,mcfd,385
dataset/dataset/chute19/cam8.avi,0,440,470,19,8,mcfd,421
dataset/dataset/chute19/cam8.avi,0,488,518,19,8,mcfd,422
dataset/dataset/chute19/cam8.avi,1,520,550,19,8,mcfd,423
dataset/dataset/chute19/cam8.avi,1,550,580,19,8,mcfd,424
dataset/dataset/chute19/cam8.avi,1,580,610,19,8,mcfd,425
dataset/dataset/chute20/cam8.avi,0,350,380,20,8,mcfd,468
dataset/dataset/chute20/cam8.avi,0,400,430,20,8,mcfd,469
dataset/dataset/chute20/cam8.avi,1,545,575,20,8,mcfd,470
dataset/dataset/chute20/cam8.avi,1,575,605,20,8,mcfd,471
dataset/dataset/chute20/cam8.avi,1,605,635,20,8,mcfd,472
dataset/dataset/chute20/cam8.avi,1,635,665,20,8,mcfd,473
dataset/dataset/chute21/cam8.avi,0,538,568,21,8,mcfd,488
dataset/dataset/chute21/cam8.avi,1,868,898,21,8,mcfd,489
dataset/dataset/chute22/cam8.avi,0,770,800,22,8,mcfd,504
dataset/dataset/chute22/cam8.avi,1,806,836,22,8,mcfd,505
dataset/dataset/chute23/cam8.avi,0,663,693,23,8,mcfd,548
dataset/dataset/chute23/cam8.avi,1,1520,1550,23,8,mcfd,549
dataset/dataset/chute23/cam8.avi,1,1550,1580,23,8,mcfd,550
dataset/dataset/chute23/cam8.avi,0,1662,1692,23,8,mcfd,551
dataset/dataset/chute23/cam8.avi,1,3574,3604,23,8,mcfd,552
dataset/dataset/chute23/cam8.avi,0,4106,4136,23,8,mcfd,553
