path,label,subject
Subject 1/ADL/01.mp4#f0-63,0,1
Subject 1/ADL/01.mp4#f16-79,0,1
Subject 1/ADL/01.mp4#f32-95,0,1
Subject 1/ADL/01.mp4#f48-111,0,1
Subject 1/ADL/01.mp4#f64-127,0,1
Subject 1/ADL/01.mp4#f80-143,0,1
Subject 1/ADL/01.mp4#f96-159,0,1
Subject 1/ADL/01.mp4#f112-175,0,1
Subject 1/ADL/01.mp4#f128-191,0,1
Subject 1/ADL/01.mp4#f144-207,0,1
Subject 1/ADL/01.mp4#f160-223,0,1
Subject 1/ADL/01.mp4#f176-239,0,1
Subject 1/ADL/02.mp4#f0-63,0,1
Subject 1/ADL/02.mp4#f16-79,0,1
Subject 1/ADL/02.mp4#f32-95,0,1
Subject 1/ADL/02.mp4#f48-111,0,1
Subject 1/ADL/02.mp4#f64-127,0,1
Subject 1/ADL/02.mp4#f80-143,0,1
Subject 1/ADL/02.mp4#f96-159,0,1
Subject 1/ADL/02.mp4#f112-175,0,1
Subject 1/ADL/02.mp4#f128-191,0,1
Subject 1/ADL/03.mp4#f0-63,0,1
Subject 1/ADL/03.mp4#f16-79,0,1
Subject 1/ADL/03.mp4#f32-95,0,1
Subject 1/ADL/03.mp4#f48-111,0,1
Subject 1/ADL/03.mp4#f64-127,0,1
Subject 1/ADL/03.mp4#f80-143,0,1
Subject 1/ADL/03.mp4#f96-159,0,1
Subject 1/ADL/03.mp4#f112-175,0,1
Subject 1/ADL/03.mp4#f128-191,0,1
Subject 1/ADL/04.mp4#f0-63,0,1
Subject 1/ADL/04.mp4#f16-79,0,1
Subject 1/ADL/04.mp4#f32-95,0,1
Subject 1/ADL/04.mp4#f48-111,0,1
Subject 1/ADL/04.mp4#f64-127,0,1
Subject 1/ADL/04.mp4#f80-143,0,1
Subject 1/ADL/04.mp4#f96-159,0,1
Subject 1/ADL/05.mp4#f0-63,0,1
Subject 1/ADL/05.mp4#f16-79,0,1
Subject 1/ADL/05.mp4#f32-95,0,1
Subject 1/ADL/05.mp4#f48-111,0,1
Subject 1/ADL/05.mp4#f64-127,0,1
Subject 1/ADL/05.mp4#f80-143,0,1
Subject 1/ADL/05.mp4#f96-159,0,1
Subject 1/ADL/05.mp4#f112-175,0,1
Subject 1/ADL/05.mp4#f128-191,0,1
Subject 1/ADL/05.mp4#f144-207,0,1
Subject 1/ADL/05.mp4#f160-223,0,1
Subject 1/ADL/05.mp4#f176-239,0,1
Subject 1/ADL/05.mp4#f192-255,0,1
Subject 1/ADL/05.mp4#f208-271,0,1
Subject 1/ADL/05.mp4#f224-287,0,1
Subject 1/ADL/05.mp4#f240-303,0,1
Subject 1/ADL/06.mp4#f0-63,0,1
Subject 1/ADL/06.mp4#f16-79,0,1
Subject 1/ADL/06.mp4#f32-95,0,1
Subject 1/ADL/06.mp4#f48-111,0,1
Subject 1/ADL/06.mp4#f64-127,0,1
Subject 1/ADL/06.mp4#f80-143,0,1
Subject 1/ADL/06.mp4#f96-159,0,1
Subject 1/ADL/06.mp4#f112-175,0,1
Subject 1/ADL/06.mp4#f128-191,0,1
Subject 1/ADL/06.mp4#f144-207,0,1
Subject 1/ADL/06.mp4#f160-223,0,1
Subject 1/ADL/06.mp4#f176-239,0,1
Subject 1/ADL/06.mp4#f192-255,0,1
Subject 1/ADL/06.mp4#f208-271,0,1
Subject 1/ADL/06.mp4#f224-287,0,1
Subject 1/ADL/06.mp4#f240-303,0,1
Subject 1/ADL/06.mp4#f256-319,0,1
Subject 1/ADL/06.mp4#f272-335,0,1
Subject 1/ADL/06.mp4#f288-351,0,1
Subject 1/ADL/07.mp4#f0-63,0,1
Subject 1/ADL/07.mp4#f16-79,0,1
Subject 1/ADL/07.mp4#f32-95,0,1
Subject 1/ADL/07.mp4#f48-111,0,1
Subject 1/ADL/07.mp4#f64-127,0,1
Subject 1/ADL/07.mp4#f80-143,0,1
Subject 1/ADL/07.mp4#f96-159,0,1
Subject 1/ADL/07.mp4#f112-175,0,1
Subject 1/ADL/07.mp4#f128-191,0,1
Subject 1/ADL/07.mp4#f144-207,0,1
Subject 1/ADL/07.mp4#f160-223,0,1
Subject 1/ADL/08.mp4#f0-63,0,1
Subject 1/ADL/08.mp4#f16-79,0,1
Subject 1/ADL/08.mp4#f32-95,0,1
Subject 1/ADL/08.mp4#f48-111,0,1
Subject 1/ADL/08.mp4#f64-127,0,1
Subject 1/ADL/08.mp4#f80-143,0,1
Subject 1/ADL/08.mp4#f96-159,0,1
Subject 1/ADL/08.mp4#f112-175,0,1
Subject 1/ADL/09.mp4#f0-63,0,1
Subject 1/ADL/09.mp4#f16-79,0,1
Subject 1/ADL/09.mp4#f32-95,0,1
Subject 1/ADL/09.mp4#f48-111,0,1
Subject 1/ADL/09.mp4#f64-127,0,1
Subject 1/ADL/09.mp4#f80-143,0,1
Subject 1/ADL/10.mp4#f0-63,0,1
Subject 1/ADL/10.mp4#f16-79,0,1
Subject 1/ADL/10.mp4#f32-95,0,1
Subject 1/ADL/10.mp4#f48-111,0,1
Subject 1/ADL/11.mp4#f0-63,0,1
Subject 1/ADL/11.mp4#f16-79,0,1
Subject 1/ADL/11.mp4#f32-95,0,1
Subject 1/ADL/11.mp4#f48-111,0,1
Subject 1/ADL/11.mp4#f64-127,0,1
Subject 1/ADL/11.mp4#f80-143,0,1
Subject 1/ADL/11.mp4#f96-159,0,1
Subject 1/ADL/11.mp4#f112-175,0,1
Subject 1/ADL/11.mp4#f128-191,0,1
Subject 1/ADL/11.mp4#f144-207,0,1
Subject 1/ADL/11.mp4#f160-223,0,1
Subject 1/ADL/11.mp4#f176-239,0,1
Subject 1/ADL/11.mp4#f192-255,0,1
Subject 1/ADL/11.mp4#f208-271,0,1
Subject 1/ADL/12.mp4#f0-63,0,1
Subject 1/ADL/12.mp4#f16-79,0,1
Subject 1/ADL/12.mp4#f32-95,0,1
Subject 1/ADL/12.mp4#f48-111,0,1
Subject 1/ADL/12.mp4#f64-127,0,1
Subject 1/ADL/12.mp4#f80-143,0,1
Subject 1/ADL/12.mp4#f96-159,0,1
Subject 1/ADL/12.mp4#f112-175,0,1
Subject 1/ADL/12.mp4#f128-191,0,1
Subject 1/ADL/12.mp4#f144-207,0,1
Subject 1/ADL/13.mp4#f0-63,0,1
Subject 1/ADL/13.mp4#f16-79,0,1
Subject 1/ADL/13.mp4#f32-95,0,1
Subject 1/ADL/13.mp4#f48-111,0,1
