path,subject,dataset,label,scenario,scenario_folder,contains_fall,fall_direction,view,fps,frame_count,duration_seconds,width,height,readable,abnormal_onset_frame,fall_onset_frame,fall_end_frame
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM1.mp4,1,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.0,1704,56.8,2560,1440,1,427,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM2.mp4,2,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.000000705052894,851,28.366666000000002,2560,1440,1,427,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM3.mp4,3,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.000000439882704,682,22.733333,2560,1440,1,404,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM4.mp4,4,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.000000433213003,1385,46.166666,2560,1440,1,827,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM5.mp4,5,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.000000225563912,1330,44.333332999999996,2560,1440,1,706,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM6.mp4,6,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.00000102389082,879,29.299999,2560,1440,1,537,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM7.mp4,7,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.00000067720092,1329,44.299999,2560,1440,1,568,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM8.mp4,8,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.000001298701356,693,23.099999,2560,1440,1,500,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM9.mp4,9,PreVFall,0,confusion_delirium,confusion_delirium,0,none,front,30.00000157894745,760,25.333332000000002,2560,1440,1,514,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM1.mp4,1,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.0,1704,56.8,2560,1440,1,1073,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM2.mp4,2,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.000000705052894,851,28.366666000000002,2560,1440,1,536,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM3.mp4,3,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.000001759530896,682,22.733332,2560,1440,1,425,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM4.mp4,4,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.000000433213003,1385,46.166666,2560,1440,1,837,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM5.mp4,5,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.000000225563912,1330,44.333332999999996,2560,1440,1,712,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM6.mp4,6,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.00000102389082,879,29.299999,2560,1440,1,588,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM7.mp4,7,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.00000067720092,1329,44.299999,2560,1440,1,690,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM8.mp4,8,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.000001298701356,693,23.099999,2560,1440,1,463,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM9.mp4,9,PreVFall,0,confusion_delirium,confusion_delirium,0,none,side,30.000000394736848,760,25.333333,2560,1440,1,546,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGFM1.mp4,1,PreVFall,0,confusion_nph,confusion_nph,0,none,front,30.000000176574456,1699,56.633333,2560,1440,1,1023,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGFM2.mp4,2,PreVFall,0,confusion_nph,confusion_nph,0,none,front,30.000000475435822,631,21.033333000000002,2560,1440,1,338,,
data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGFM3.mp4,3,PreVFall,0,confusion_nph,confusion_nph,0,none,front,30.000000252951097,1186,39.533333,2560,1440,1,658,,
