path,label,start_frame,end_frame,scenario,cam,dataset,source_row,pose_path,backend,frames,zero_pose_frames,mean_confidence
dataset/dataset/chute01/cam1.avi,0,1052,1082,1,1,mcfd,2,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam1__f1052_1082.npz,yolo,64,0,0.739716
dataset/dataset/chute01/cam1.avi,1,1083,1113,1,1,mcfd,3,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam1__f1083_1113.npz,yolo,64,21,0.443525
dataset/dataset/chute01/cam1.avi,0,1114,1144,1,1,mcfd,4,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam1__f1114_1144.npz,yolo,64,35,0.329951
dataset/dataset/chute01/cam2.avi,0,1052,1082,1,2,mcfd,5,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam2__f1052_1082.npz,yolo,64,4,0.636280
dataset/dataset/chute01/cam2.avi,1,1083,1113,1,2,mcfd,6,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam2__f1083_1113.npz,yolo,64,10,0.575718
dataset/dataset/chute01/cam2.avi,0,1114,1144,1,2,mcfd,7,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam2__f1114_1144.npz,yolo,64,0,0.674882
dataset/dataset/chute01/cam3.avi,0,1057,1087,1,3,mcfd,8,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam3__f1057_1087.npz,yolo,64,0,0.307408
dataset/dataset/chute01/cam3.avi,1,1088,1118,1,3,mcfd,9,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam3__f1088_1118.npz,yolo,64,8,0.128063
dataset/dataset/chute01/cam3.avi,0,1119,1149,1,3,mcfd,10,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam3__f1119_1149.npz,yolo,64,23,0.042630
dataset/dataset/chute01/cam4.avi,0,1053,1083,1,4,mcfd,11,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam4__f1053_1083.npz,yolo,64,0,0.674589
dataset/dataset/chute01/cam4.avi,1,1084,1114,1,4,mcfd,12,fall_benchmark/data/poses/yolo_pose/mcfd_t64_c010/dataset__dataset__chute01__cam4__f1084_1114.npz,yolo,64,19,0.472266
