epoch,train_loss,val_loss,val_accuracy,val_macro_recall,val_macro_f1,learning_rate
1,1.6484508527874273,1.6267063617706299,0.49122807017543857,0.35,0.32676616915422885,0.00029999218663458546
2,1.4765440434385828,1.6099865436553955,0.6140350877192983,0.4375,0.38902861308547476,0.00029996874739516546
3,1.4011285547482766,1.574158787727356,0.631578947368421,0.5131578947368421,0.4957142857142857,0.00029992968485211674
4,1.3231717119109159,1.520120620727539,0.5614035087719298,0.55,0.49235880398671095,0.00029987500328908733
5,1.2704111108672147,1.4489719867706299,0.5614035087719298,0.5875,0.501326164874552,0.00029980470870252676
6,1.2067089383885012,1.3575403690338135,0.5789473684210527,0.5980263157894736,0.5246594982078853,0.0002997188088010287
7,1.216807296047103,1.2583870887756348,0.5614035087719298,0.5855263157894737,0.4966666666666667,0.00029961731300448525
8,1.1493315494666665,1.1544116735458374,0.5964912280701754,0.6085526315789473,0.536250671262473,0.00029950023244305435
9,1.0905635727327423,1.0655851364135742,0.5964912280701754,0.6085526315789473,0.5332309267793139,0.0002993675799559389
10,1.092944710268139,0.9939289093017578,0.5964912280701754,0.6085526315789473,0.5303516355279296,0.00029921937008997894
11,1.037685089865647,0.9393467307090759,0.5964912280701754,0.6085526315789473,0.5303516355279296,0.00029905561909805646
12,1.0379988669002123,0.8967845439910889,0.6140350877192983,0.6190789473684211,0.546801851978146,0.0002988763449373131
13,1.0118320735834412,0.8578814268112183,0.6140350877192983,0.6190789473684211,0.546801851978146,0.0002986815672671807
14,1.0255821700823509,0.8336961269378662,0.6140350877192983,0.6485526315789474,0.5703516355279297,0.0002984713074472258
15,1.0361051215963848,0.7949064373970032,0.6491228070175439,0.6401315789473684,0.5784690220174091,0.0002982455885348071
16,0.9730414616859565,0.7562781572341919,0.7017543859649122,0.6717105263157894,0.6231780167264038,0.0002980044352825469
17,0.9969604863958844,0.7334635853767395,0.7719298245614035,0.7452631578947368,0.7101532567049809,0.00029774787413561687
18,0.9884534878919353,0.7061202526092529,0.8070175438596491,0.7663157894736842,0.7437275985663082,0.00029747593322883807
19,0.9537996134515536,0.6876865029335022,0.7894736842105263,0.7557894736842105,0.726031746031746,0.0002971886423835953
20,0.9553197901801201,0.6577685475349426,0.8771929824561403,0.8084210526315789,0.8070995670995671,0.0002968860331045672
21,0.942866731498201,0.6384869813919067,0.8947368421052632,0.8189473684210526,0.8180555555555555,0.0002965681385762714
22,0.8747433935855068,0.6156728863716125,0.9298245614035088,0.8694736842105263,0.8822136422136422,0.0002962349936594253
