path,label,start,end,subject,cam,dataset
chute01/cam1,0,28.13264333333333,33.23733333333334,1,1,mcfd
chute01/cam1,9,33.269333333333336,35.50533333333333,1,1,mcfd
chute01/cam1,1,35.537333333333336,37.54930333333333,1,1,mcfd
chute02/cam1,0,10.970143333333333,13.823333333333332,1,1,mcfd
chute02/cam1,1,13.855333333333332,15.907643333333333,1,1,mcfd
chute03/cam1,0,12.011803333333331,19.581333333333333,1,1,mcfd
chute03/cam1,1,19.613333333333333,22.345143333333333,1,1,mcfd
chute04/cam1,0,9.953473333333331,12.521333333333333,1,1,mcfd
chute04/cam1,1,12.521333333333333,13.870143333333331,1,1,mcfd
chute05/cam1,0,9.765976666666669,10.612666666666668,1,1,mcfd
chute05/cam1,1,10.648666666666667,12.890976666666669,1,1,mcfd
chute05/cam1,2,12.890666666666666,15.280666666666669,1,1,mcfd
chute06/cam1,0,10.999303333333334,19.93533333333333,1,1,mcfd
chute06/cam1,1,19.967333333333336,22.353473333333334,1,1,mcfd
chute07/cam1,0,11.74097,17.31,1,1,mcfd
chute07/cam1,1,17.346,19.49097,1,1,mcfd
chute08/cam1,0,7.878473333333334,12.687333333333331,1,1,mcfd
chute08/cam1,1,12.719333333333331,14.086803333333334,1,1,mcfd
chute08/cam1,2,14.086333333333334,16.355333333333334,1,1,mcfd
chute09/cam1,0,10.215976666666666,16.27266666666667,1,1,mcfd
chute09/cam1,1,16.308666666666667,17.372666666666667,1,1,mcfd
chute09/cam1,4,17.40866666666667,19.74066666666667,1,1,mcfd
chute09/cam1,7,19.77266666666667,21.44066666666667,1,1,mcfd
chute09/cam1,1,21.47266666666667,22.903476666666663,1,1,mcfd
chute10/cam1,0,10.553476666666668,16.012666666666668,1,1,mcfd
chute10/cam1,3,16.044666666666668,17.386806666666665,1,1,mcfd
chute10/cam1,2,18.719666666666665,20.883476666666667,1,1,mcfd
chute11/cam1,0,13.274306666666668,16.402666666666665,1,1,mcfd
chute11/cam1,1,16.438666666666666,18.003476666666664,1,1,mcfd
chute12/cam1,0,12.634,20.934,1,1,mcfd
chute12/cam1,1,20.97,22.57,1,1,mcfd
chute12/cam1,2,22.602,26.47,1,1,mcfd
chute13/cam1,0,10.583333333333332,14.883333333333333,1,1,mcfd
chute13/cam1,1,14.919333333333332,16.419333333333334,1,1,mcfd
chute13/cam1,9,16.451333333333334,21.75133333333333,1,1,mcfd
chute13/cam1,6,21.78333333333333,23.89097333333333,1,1,mcfd
